id,name,display_desc,category,location,img
2303,Mediterranean Salad with Chicken,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_mediterranean_salad_chicken.png
2304,Mediterranean Salad,Mediterranean Salad,Entree,Columbia Harbor House,salad_mediterranean-salad.png
2307,1/3 lb Angus Cheeseburger,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_cheeseburger.jpeg
2716,Chicken Breast Strips,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png
3020,Chicken Strips,served with choice of Sides and Beverage,Kids,Columbia Harbor House,fried_chicken-strips.png
3036,Shrimp Platter,served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_shrimp.png
3037,Fish and Shrimp Platter,served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_seafood_platter_fish_shrimp.png
3038,"Shrimp, Fish and Chicken Platter",served with Steak Fries and Coleslaw,Entree,Columbia Harbor House,fried_shrimp_fish_chicken.png
3039,Happy Daze,"Parrot Bat Coconut Rum, Melon Liqueur, Banana Liqueur and Grenadine with Orange and Pineapple Juice",Alcoholic Beverage,Columbia Harbor House,bev_cocktails.png
3069,Regular Coffee,,Beverage,ABC Commissary,bev_coffee.jpg
3070,Decaf Coffee,,Beverage,ABC Commissary,bev_coffee.jpg
3123,Regular Coffee,,Beverage,Columbia Harbor House,bev_coffee.jpg
3124,Decaf Coffee,,Beverage,Columbia Harbor House,bev_coffee.jpg
3166,Macaroni & Cheese,,Side,ABC Commissary,mac-n-cheese.png
3167,Tuna Sandwich,served with House-made Potato Chips,Entree,ABC Commissary,sandwich_tuna_sandwich.png
3168,Shrimp & Fish Combo,served with Hushpuppies and a choice of Side,Entree,ABC Commissary,fried_shrimp_fish_chicken.png
3170,Chicken Breast Nuggets & Fish Combo,served with Hushpuppies and a choice of Side,Entree,ABC Commissary,fried_Chicken-and-Fish.png
3171,Chicken Breast Nuggets (8 piece),served with choice of Side,Entree,ABC Commissary,fried_chicken_nuggets.png
3236,Toy Story Land Cupcake,Celebrate the opening of Toy Story Land with this Chocolate Cupcake topped with Vanilla Buttercream,Dessert,Columbia Harbor House,dessert_chocolate_cupcake.jpeg
3265,Vegan Burger,served with French Fries,Entree,Columbia Harbor House,burger_vegan.png
3273,Smucker's® Uncrustables® Sandwich,"served with Carrot Sticks, Apple Slices and choice of Beverage",Kids,Columbia Harbor House,Smuckers_Uncrustables.jpg
3274,Mac & Cheese,"served with Carrot Sticks, Apple Slices and choice of Beverage",Kids,Columbia Harbor House,mac-n-cheese.png
3276,Mac & Cheese,"served with Carrot Sticks, Apple Slices and choice of Beverage",Kids,Columbia Harbor House,mac-n-cheese.png
3285,Southwest BBQ Burger,served with Signature Southwestern Steak Fries dusted in Chili-lime Seasoning,Entree,Columbia Harbor House,burger_southwest_BBQ.jpg
3287,Vegan Burger,served with French Fries,Entree,Columbia Harbor House,burger_vegan.png
3288,BBQ Rib Platter,"served with Coleslaw, Pickles and Steak Fries",Entree,Columbia Harbor House,fries-transparent-steak.png
3289,Southwestern Steak Fries,topped with Chipotle Aïoli and Queso Fresco,Side,Columbia Harbor House,fries_southwest_steak.jpg
3370,Braised Beef and Enchilada,served with a Roasted Corn and Cheese Enchilada,Entree,Columbia Harbor House,mex_beef_enchiladas.jpeg
3371,BBQ Quesadilla,"served with Steak Fries, Roasted Corn and choice of Beverage",Kids,Columbia Harbor House,mex_quesadilla.png
3389,Shrimp Teriyaki Bowl,Stir-fried Shrimp and Vegetables tossed in a House-made Teriyaki Sauce,Entree,Columbia Harbor House,asian_shrimp-terriyaki_bowl.jpg
3390,Teriyaki Vegetable Bowl,Stir-fried Vegetables tossed in a House-made Teriyaki Sauce,Entree,Columbia Harbor House,asian_Vegetable-Teriyaki-Bowl.png
3407,Green Beans,,Side,Columbia Harbor House,veg_green_beans_carrots.jpg
3408,Chocolate Banana Cream Almond Crisp,,Dessert,Columbia Harbor House,dessert_chocolate_banana_almond.jpg
3410,Olaf Cupcake,Chocolate Cupcake,Dessert,Columbia Harbor House,dessert_chocolate_cupcake.jpeg
3411,Toy Story Land Cupcake,Celebrate the opening of Toy Story Land with this Chocolate Cupcake topped with Vanilla Buttercream,Dessert,Columbia Harbor House,dessert_chocolate_cupcake.jpeg
3590,Lighthouse Sandwich,served with House-made Potato Chips,Entree,ABC Commissary,sandwich_lighthouse_hummus.jpeg
3591,Hushpuppies,,Side,ABC Commissary,fried_hushpuppies.jpeg
3592,Vegetable Rice,,Side,ABC Commissary,veg_veggie_rice.jpg
3593,Harbour Salad with Chicken,drizzled with Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_garden_salad_with_chicken.png
3594,Harbour Salad with Shrimp,drizzled with Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_shrimp.jpg
3595,Harbour Salad,drizzled with Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_mediterranean-salad.png
3608,BBQ Rib Platter,served with Coleslaw and French Fries,Entree,Columbia Harbor House,Ribs.png
3825,Watermelon Margarita,Patron Tequila with flavors of Watermelon,Alcoholic Beverage,Columbia Harbor House,bev_cocktails.png
3835,Shrimp & Chicken Breast Nuggets Combo,"served with Hushpuppies and a choice of Green Beans &amp; Carrots, Apple Slices or French Fries",Entree,ABC Commissary,fried_shrimp_fish_chicken.png
3893,Peanut Butter Chocolate Finishline Cake,Peanut Butter and Chocolate Cake with Chocolate Ganache,Dessert,Columbia Harbor House,dessert_peanut_butter_chocolate_cake.png
3894,Chocolate Mousse Racer,Vanilla and Chocolate Swirl Cookie topped with Chocolate Mousse,Dessert,Columbia Harbor House,dessert_chocolate_mousse.png
4302,Kids' Garden Salad with Chicken - Gluten/Wheat Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,salad_garden_salad_with_chicken.png
4303,Kids' Allergy-friendly Chicken Breast Nuggets - Gluten/Wheat Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,fried_chicken_nuggets.png
4304,Kids' Allergy-friendly Macaroni & Cheese - Gluten/Wheat Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,mac-n-cheese.png
4305,Grilled Salmon - Gluten/Wheat Allergy-friendly,served with French Fries and Green Beans with Carrots,Entree,ABC Commissary,salmon_grilled_salmon_green_beans.jpg
4306,Allergy-friendly Chicken Breast Nuggets - Gluten/Wheat Allergy-friendly,served with French Fries,Entree,ABC Commissary,fried_chicken_nuggets.png
4307,Allergy-friendly Cookies - Gluten/Wheat Allergy-friendly,,Entree,ABC Commissary,dessert_cookies.png
4308,Allergy-friendly Brownie - Gluten/Wheat Allergy-friendly,,Entree,ABC Commissary,dessert_brownies.jpeg
4310,Kids' Allergy-friendly Chicken Breast Nuggets - Egg Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,fried_chicken_nuggets.png
4311,Kids' Allergy-friendly Macaroni & Cheese - Egg Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,mac-n-cheese.png
4312,Grilled Salmon - Egg Allergy-friendly,served with French Fries and Green Beans with Carrots,Entree,ABC Commissary,salmon_grilled_salmon_green_beans.jpg
4313,Allergy-friendly Chicken Breast Nuggets - Egg Allergy-friendly,served with French Fries,Entree,ABC Commissary,fried_chicken_nuggets.png
4315,Kids' Garden Salad with Chicken - Milk Allergy-friendly,"served with GoGo squeeZ® Applesauce, Green Beans with Carrots and small Dasani® Bottled Water",Entree,ABC Commissary,salad_garden_salad_with_chicken.png
4316,Kids' Allergy-friendly Chicken Breast Nuggets - Milk Allergy-friendly,"served with GoGo squeeZ® Applesauce, Green Beans with Carrots and choice of Beverage",Entree,ABC Commissary,fried_chicken_nuggets.png
4317,Grilled Salmon - Milk Allergy-friendly,served with French Fries and Green Beans with Carrots,Entree,ABC Commissary,salmon_grilled_salmon_green_beans.jpg
4318,Allergy-friendly Chicken Breast Nuggets - Milk Allergy-friendly,served with French Fries,Entree,ABC Commissary,fried_chicken_nuggets.png
4319,Allergy-friendly Cookies - Milk Allergy-friendly,,Entree,ABC Commissary,dessert_cookies.png
4320,Kids' Tuna Sandwich - Peanut/Tree Nut Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,sandwich_tuna_sandwich.png
4322,Kids' Chicken Breast Nuggets and Fish - Peanut/Tree Nut Allergy-friendly,served with choice of Sides and Beverage,Entree,ABC Commissary,fried_Chicken-and-Fish.png
4323,Kids' Chicken Breast Nuggets - Peanut/Tree Nut Allergy-friendly,served with choice of Sides and a Beverage,Entree,ABC Commissary,fried_chicken_nuggets.png
4324,Lobster Roll - Peanut/Tree Nut Allergy-friendly,served with House-made Potato Chips,Entree,ABC Commissary,sandwich_LobsterRoll.png
4325,Tuna Sandwich - Peanut/Tree Nut Allergy-friendly,served with House-made Potato Chips,Entree,ABC Commissary,sandwich_tuna_sandwich.png
4326,Chicken Pot Pie - Peanut/Tree Nut Allergy-friendly,served with Green Beans and Carrots,Entree,ABC Commissary,Chicken-Pot-Pie.png
4327,Grilled Salmon - Peanut/Tree Nut Allergy-friendly,served with French Fries and Green Beans with Carrots,Entree,ABC Commissary,salmon_grilled_salmon_green_beans.jpg
4328,Chicken Breast Nuggets (8 piece) - Peanut/Tree Nut Allergy-friendly,served with choice of Side,Entree,ABC Commissary,fried_chicken_nuggets.png
4329,Harbour Salad - Peanut/Tree Nut Allergy-friendly,drizzled with a Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_mediterranean-salad.png
4331,Seasonal Peach Cobbler - Peanut/Tree Nut Allergy-friendly,drizzled with Vanilla Sauce,Entree,ABC Commissary,dessert_peach-cobbler.jpg
4333,Chicken Breast Nuggets & Fish Combo - Peanut/Tree Nut Allergy-friendly,served with Hush Puppies and choice of Side,Entree,ABC Commissary,fried_Chicken-and-Fish.png
4334,Trio Platter - Peanut/Tree Nut Allergy-friendly,"a combination of Fried Shrimp, Breaded Chicken Breast Nuggets and Battered Fish with Hush Puppies and choice of Side",Entree,ABC Commissary,fried_seafood_platter_fish_shrimp.png
4335,Shrimp & Fish Combo - Peanut/Tree Nut Allergy-friendly,served with Hush Puppies and choice of Side,Entree,ABC Commissary,fried_shrimp_fish_chicken.png
4336,Kids' Garden Salad with Chicken - Soy Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,salad_garden_salad_with_chicken.png
4337,Baked Chicken Breast - Soy Allergy-friendly,served with Green Beans and Carrots,Entree,ABC Commissary,chicken-breast_baked.png
4339,Chicken Harbour Salad - Peanut/Tree Nut Allergy-friendly,drizzled with a Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_garden_salad_with_chicken.png
4724,1/3 lb Angus Bacon Cheeseburger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4725,Vegan Burger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png
4726,Allergy-friendly Chicken Strips - Gluten/Wheat Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png
4727,Chicken Club - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4728,BBQ Ribs Platter - Gluten/Wheat Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,Ribs.png
4729,Mediterranean Salad with Chicken - Gluten/Wheat Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png
4730,Kids' Carved Turkey Sandwich - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
4731,Kids' Cheeseburger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg
4732,Kids' Allergy-friendly Chicken Strips - Gluten/Wheat Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png
4734,Allergy-friendly Cookies - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png
4735,Allergy-friendly Brownie - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg
4736,Allergy-friendly Cookies - Egg Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png
4739,Allergy-friendly Cookies - Milk Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png
4740,Allergy-friendly Cookies - Peanut/Tree Nut Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png
4742,Allergy-friendly Brownie - Peanut/Tree Nut Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg
4743,1/3 lb Angus Bacon Cheeseburger - Soy Allergy-friendly,served on an Allergy-friendly Bun with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4744,Kids' Carved Turkey Sandwich - Soy Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
4746,Kids' Carved Turkey Sandwich - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
4747,Kids' Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg
4748,Kids' Chicken Strips - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png
4749,Kids' Mac & Cheese - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,mac-n-cheese.png
4751,Kids' Hamburger - Milk Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger.jpeg
4752,Kids' Chicken Strips - Milk Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png
4753,Kids' Smucker's® Uncrustables® Sandwich - Milk Allergy-friendly,"served with Carrots, Apple Slices and a small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg
4754,Kids' Carved Turkey Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4755,Kids' Cheeseburger - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg
4756,Kids' Chicken Strips - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png
4757,Kids' Smucker's® Uncrustables® Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg
4761,Mediterranean Salad with Chicken - Egg Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png
4764,Mediterranean Salad with Chicken - Milk Allergy-friendly,tossed in Oil and Vinegar and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png
4766,1/3 lb Angus Bacon Cheeseburger - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4767,Vegan Burger - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png
4768,Chicken Breast Strips - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png
4769,Chicken Club - Egg Allergy-friendly,served with Green Beans and French Fries or Apple Slices,Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4771,1/3 lb Angus Bacon Cheeseburger - Fish/Shellfish Allergy-friendly,served with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4772,Vegan Burger - Fish/Shellfish Allergy-friendly,served with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_vegan.png
4773,Chicken Club - Fish/Shellfish Allergy-friendly,served with Coleslaw and choice of Green Beans or Apple Slices,Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4774,BBQ Ribs Platter - Fish/Shellfish Allergy-friendly,served with Coleslaw and choice of Green Beans or Apple Slices,Entree,Columbia Harbor House,Ribs.png
4775,1/3 lb Angus Bacon Burger - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4776,Vegan Burger - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png
4777,Chicken Breast Strips - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png
4778,Chicken Club - Milk Allergy-friendly,"served with Coleslaw and choice of Green Beans,Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4779,BBQ Ribs Platter - Milk Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,Ribs.png
4780,1/3 lb Angus Bacon Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4781,1/3 lb Angus Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_cheeseburger.jpeg
4783,Chicken Breast Strips - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png
4784,Chicken Club - Peanut/Tree Nut Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg
4786,"Shrimp, Fish, and Chicken Platter - Peanut/Tree Nut Allergy-friendly",served with Coleslaw and French Fries,Entree,Columbia Harbor House,fried_shrimp_fish_chicken.png
4788,Shrimp Platter - Peanut/Tree Nut Allergy-friendly,served with Coleslaw and French Fries,Entree,Columbia Harbor House,fried_shrimp.png
4789,1/3 lb Angus Bacon Cheeseburger - Gluten/Wheat Allergy-friendly,served on an Allergy-friendly Bun with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4790,Vegan Burger - Gluten/Wheat Allergy-friendly,served on an Allergy-friendly Bun with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_vegan.png
4791,BBQ Ribs Platter - Gluten/Wheat Allergy-friendly,served with Coleslaw and choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,Ribs.png
4792,Braised Beef and Enchilada Platter - Gluten/Wheat Allergy-friendly,served with a Roasted Corn and Cheese Enchilada,Entree,Columbia Harbor House,mex_beef_enchiladas.jpeg
4793,Mediterranean Salad with Chicken - Gluten/Wheat Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png
4794,Kids' Carved Turkey Sandwich - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
4796,Allergy-friendly Brownie - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg
4797,1/3 lb Angus Bacon Cheeseburger - Egg Allergy-friendly,served with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
4799,BBQ Ribs Platter - Egg Allergy-friendly,served with Steak Fries and Apple Slices,Entree,Columbia Harbor House,Ribs.png
4801,Shrimp Teriyaki Bowl - Egg Allergy-friendly,Stir-fried Shrimp and Vegetables tossed in a House-made Teriyaki Sauce,Entree,Columbia Harbor House,asian_shrimp-terriyaki_bowl.jpg
4804,Kids' Carved Turkey Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water. Meets Disney Nutrition Guidelines for Complete Meals without substitutions",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
4811,Mediterranean Salad with Chicken - Fish/Shellfish Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png
4813,Kids' Smucker's® Uncrustables® Sandwich - Fish/Shellfish Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg
4814,Kids' Mac & Cheese - Fish/Shellfish Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,mac-n-cheese.png
4816,Allergy-friendly Brownie - Fish/Shellfish Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg
4821,Kids' Carved Turkey Sandwich - Soy Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png
